Time,Volt
6.80E-02,1.60E-04
6.90E-02,4.00E-04
7.00E-02,1.60E-04
7.10E-02,4.00E-04
7.20E-02,1.60E-04
7.30E-02,4.00E-04
7.40E-02,3.20E-04
7.50E-02,1.60E-04
7.60E-02,4.00E-04
7.70E-02,8.00E-05
7.80E-02,1.60E-04
7.90E-02,4.00E-04
8.00E-02,3.20E-04
8.10E-02,1.60E-04
8.20E-02,1.60E-04
8.30E-02,4.00E-04
8.40E-02,3.20E-04
8.50E-02,1.60E-04
8.60E-02,1.60E-04
8.70E-02,4.00E-04
8.80E-02,1.60E-04
8.90E-02,4.00E-04
9.00E-02,1.60E-04
9.10E-02,4.00E-04
9.20E-02,1.60E-04
9.30E-02,4.80E-04
9.40E-02,2.40E-04
9.50E-02,5.60E-04
9.60E-02,1.60E-04
9.70E-02,4.80E-04
9.80E-02,4.00E-04
9.90E-02,1.60E-04
1.00E-01,1.60E-04
1.01E-01,4.00E-04
1.02E-01,1.60E-04
1.03E-01,3.20E-04
1.04E-01,1.60E-04
1.05E-01,3.20E-04
1.06E-01,4.00E-04
1.07E-01,1.60E-04
1.08E-01,4.00E-04
1.09E-01,8.00E-05
1.10E-01,4.00E-04
1.11E-01,1.60E-04
1.12E-01,1.60E-04
1.13E-01,3.20E-04
1.14E-01,3.20E-04
1.15E-01,8.00E-05
1.16E-01,3.20E-04
1.17E-01,1.60E-04
1.18E-01,8.00E-05
1.19E-01,3.20E-04
1.20E-01,3.20E-04
1.21E-01,8.00E-05
1.22E-01,1.60E-04
1.23E-01,3.20E-04
1.24E-01,3.20E-04
1.25E-01,1.60E-04
1.26E-01,8.00E-05
1.27E-01,4.00E-04
1.28E-01,4.00E-04
1.29E-01,1.60E-04
1.30E-01,3.20E-04
1.31E-01,8.00E-05
1.32E-01,1.60E-04
1.33E-01,3.20E-04
1.34E-01,1.60E-04
1.35E-01,4.80E-04
1.36E-01,2.40E-04
1.37E-01,4.80E-04
1.38E-01,4.00E-04
1.39E-01,1.60E-04
1.40E-01,1.60E-04
1.41E-01,4.00E-04
1.42E-01,2.40E-04
1.43E-01,4.00E-04
1.44E-01,1.60E-04
1.45E-01,4.00E-04
1.46E-01,4.00E-04
1.47E-01,1.60E-04
1.48E-01,4.00E-04
1.49E-01,1.60E-04
1.50E-01,1.60E-04
1.51E-01,5.60E-04
1.52E-01,1.60E-04
1.53E-01,4.00E-04
1.54E-01,1.60E-04
1.55E-01,4.00E-04
1.56E-01,3.20E-04
1.57E-01,1.60E-04
1.58E-01,4.00E-04
1.59E-01,1.60E-04
1.60E-01,4.00E-04
1.61E-01,1.60E-04
1.62E-01,1.60E-04
1.63E-01,3.20E-04
1.64E-01,1.60E-04
1.65E-01,4.00E-04
1.66E-01,3.20E-04
1.67E-01,1.60E-04
1.68E-01,3.20E-04
1.69E-01,8.00E-05
1.70E-01,4.00E-04
1.71E-01,1.60E-04
1.72E-01,1.60E-04
1.73E-01,4.00E-04
1.74E-01,4.00E-04
1.75E-01,1.60E-04
1.76E-01,1.60E-04
1.77E-01,4.00E-04
1.78E-01,4.00E-04
1.79E-01,1.60E-04
1.80E-01,4.00E-04
1.81E-01,8.00E-05
1.82E-01,3.20E-04
1.83E-01,1.60E-04
1.84E-01,3.20E-04
1.85E-01,1.60E-04
1.86E-01,8.00E-05
1.87E-01,4.80E-04
1.88E-01,1.60E-04
1.89E-01,4.80E-04
1.90E-01,1.60E-04
1.91E-01,4.80E-04
1.92E-01,4.80E-04
1.93E-01,1.60E-04
1.94E-01,4.00E-04
1.95E-01,8.00E-05
1.96E-01,1.60E-04
1.97E-01,3.20E-04
1.98E-01,1.60E-04
1.99E-01,4.00E-04
2.00E-01,1.60E-04
2.01E-01,4.00E-04
2.02E-01,1.60E-04
2.03E-01,4.80E-04
2.04E-01,1.60E-04
2.05E-01,4.00E-04
2.06E-01,1.60E-04
2.07E-01,4.00E-04
2.08E-01,4.80E-04
2.09E-01,1.60E-04
2.10E-01,1.60E-04
2.11E-01,4.80E-04
2.12E-01,8.00E-05
2.13E-01,4.00E-04
2.14E-01,4.80E-04
2.15E-01,8.00E-05
2.16E-01,1.60E-04
2.17E-01,4.00E-04
2.18E-01,1.60E-04
2.19E-01,4.80E-04
2.20E-01,1.60E-04
2.21E-01,4.00E-04
2.22E-01,3.20E-04
2.23E-01,1.60E-04
2.24E-01,1.60E-04
2.25E-01,4.00E-04
2.26E-01,-9.31E-10
2.27E-01,3.20E-04
2.28E-01,1.60E-04
2.29E-01,3.20E-04
2.30E-01,3.20E-04
2.31E-01,1.60E-04
2.32E-01,3.20E-04
2.33E-01,-9.31E-10
2.34E-01,3.20E-04
2.35E-01,1.60E-04
2.36E-01,2.40E-04
2.37E-01,4.00E-04
2.38E-01,4.00E-04
2.39E-01,1.60E-04
2.40E-01,1.60E-04
2.41E-01,4.00E-04
2.42E-01,1.60E-04
2.43E-01,4.00E-04
2.44E-01,1.60E-04
2.45E-01,4.80E-04
2.46E-01,1.60E-04
2.47E-01,4.00E-04
2.48E-01,4.80E-04
2.49E-01,8.00E-05
2.50E-01,3.20E-04
2.51E-01,1.60E-04
2.52E-01,4.00E-04
2.53E-01,1.60E-04
2.54E-01,1.60E-04
2.55E-01,4.00E-04
2.56E-01,4.00E-04
2.57E-01,8.00E-05
2.58E-01,8.00E-05
2.59E-01,3.20E-04
2.60E-01,8.00E-05
2.61E-01,4.80E-04
2.62E-01,3.20E-04
2.63E-01,8.00E-05
2.64E-01,1.60E-04
2.65E-01,4.80E-04
2.66E-01,1.60E-04
2.67E-01,4.00E-04
2.68E-01,4.00E-04
2.69E-01,1.60E-04
2.70E-01,-8.00E-05
2.71E-01,4.00E-04
2.72E-01,1.60E-04
2.73E-01,4.00E-04
